year	month	day	hour	minute	second	valid_flag
2017	1	26	12	53	32.106	1
2017	1	26	12	53	32.114	1
2017	1	26	12	53	32.122	1
2017	1	26	12	53	32.131	1
2017	1	26	12	53	32.139	1
2017	1	26	12	53	32.147	1
2017	1	26	12	53	32.156	1
2017	1	26	12	53	32.165	1
2017	1	26	12	53	32.172	1
2017	1	26	12	53	32.182	1
2017	1	26	12	53	32.189	1
2017	1	26	12	53	32.197	1
2017	1	26	12	53	32.206	1
2017	1	26	12	53	32.215	1
2017	1	26	12	53	32.229	1
2017	1	26	12	53	32.231	1
2017	1	26	12	53	32.247	1
2017	1	26	12	53	32.249	1
2017	1	26	12	53	32.263	1
2017	1	26	12	53	32.265	1
2017	1	26	12	53	32.28	1
2017	1	26	12	53	32.281	1
2017	1	26	12	53	32.289	1
2017	1	26	12	53	32.298	1
2017	1	26	12	53	32.305	1
2017	1	26	12	53	32.314	1
2017	1	26	12	53	32.322	1
2017	1	26	12	53	32.331	1
2017	1	26	12	53	32.341	1
2017	1	26	12	53	32.347	1
2017	1	26	12	53	32.355	1
2017	1	26	12	53	32.364	1
2017	1	26	12	53	32.372	1
2017	1	26	12	53	32.38	1
2017	1	26	12	53	32.389	1
2017	1	26	12	53	32.397	1
2017	1	26	12	53	32.405	1
2017	1	26	12	53	32.416	1
2017	1	26	12	53	32.422	1
2017	1	26	12	53	32.432	1
2017	1	26	12	53	32.438	1
2017	1	26	12	53	32.448	1
2017	1	26	12	53	32.456	1
2017	1	26	12	53	32.464	1
2017	1	26	12	53	32.48	1
2017	1	26	12	53	32.482	1
2017	1	26	12	53	32.497	1
2017	1	26	12	53	32.501	1
2017	1	26	12	53	32.514	1
2017	1	26	12	53	32.514	1
2017	1	26	12	53	32.53	1
2017	1	26	12	53	32.532	1
2017	1	26	12	53	32.547	1
2017	1	26	12	53	32.549	1
2017	1	26	12	53	32.555	1
2017	1	26	12	53	32.565	1
2017	1	26	12	53	32.572	1
2017	1	26	12	53	32.582	1
2017	1	26	12	53	32.589	1
2017	1	26	12	53	32.597	1
2017	1	26	12	53	32.607	1
2017	1	26	12	53	32.614	1
2017	1	26	12	53	32.622	1
2017	1	26	12	53	32.63	1
2017	1	26	12	53	32.639	1
2017	1	26	12	53	32.647	1
2017	1	26	12	53	32.655	1
2017	1	26	12	53	32.665	1
2017	1	26	12	53	32.672	1
2017	1	26	12	53	32.683	1
2017	1	26	12	53	32.689	1
