year	month	day	hour	minute	second	valid_flag
2017	1	26	11	55	37.864	1
2017	1	26	11	55	37.873	1
2017	1	26	11	55	37.881	1
2017	1	26	11	55	37.89	1
2017	1	26	11	55	37.898	1
2017	1	26	11	55	37.906	1
2017	1	26	11	55	37.914	1
2017	1	26	11	55	37.922	1
2017	1	26	11	55	37.931	1
2017	1	26	11	55	37.939	1
2017	1	26	11	55	37.95	1
2017	1	26	11	55	37.956	1
2017	1	26	11	55	37.967	1
2017	1	26	11	55	37.972	1
2017	1	26	11	55	37.983	1
2017	1	26	11	55	37.989	1
2017	1	26	11	55	38	1
2017	1	26	11	55	38.005	1
2017	1	26	11	55	38.017	1
2017	1	26	11	55	38.034	1
2017	1	26	11	55	38.035	1
2017	1	26	11	55	38.05	1
2017	1	26	11	55	38.051	1
2017	1	26	11	55	38.067	1
2017	1	26	11	55	38.068	1
2017	1	26	11	55	38.072	1
2017	1	26	11	55	38.08	1
2017	1	26	11	55	38.089	1
2017	1	26	11	55	38.097	1
2017	1	26	11	55	38.105	1
2017	1	26	11	55	38.117	1
2017	1	26	11	55	38.122	1
2017	1	26	11	55	38.134	1
2017	1	26	11	55	38.139	1
2017	1	26	11	55	38.15	1
2017	1	26	11	55	38.156	1
2017	1	26	11	55	38.167	1
2017	1	26	11	55	38.184	1
2017	1	26	11	55	38.184	1
2017	1	26	11	55	38.2	1
2017	1	26	11	55	38.202	1
2017	1	26	11	55	38.217	1
2017	1	26	11	55	38.217	1
2017	1	26	11	55	38.223	1
2017	1	26	11	55	38.23	1
2017	1	26	11	55	38.239	1
2017	1	26	11	55	38.247	1
2017	1	26	11	55	38.256	1
2017	1	26	11	55	38.264	1
2017	1	26	11	55	38.272	1
2017	1	26	11	55	38.28	1
2017	1	26	11	55	38.289	1
2017	1	26	11	55	38.298	1
2017	1	26	11	55	38.317	1
2017	1	26	11	55	38.317	1
2017	1	26	11	55	38.322	1
2017	1	26	11	55	38.332	1
2017	1	26	11	55	38.339	1
2017	1	26	11	55	38.347	1
2017	1	26	11	55	38.356	1
2017	1	26	11	55	38.364	1
2017	1	26	11	55	38.372	1
2017	1	26	11	55	38.381	1
2017	1	26	11	55	38.389	1
2017	1	26	11	55	38.397	1
2017	1	26	11	55	38.406	1
2017	1	26	11	55	38.417	1
2017	1	26	11	55	38.422	1
2017	1	26	11	55	38.434	1
2017	1	26	11	55	38.439	1
2017	1	26	11	55	38.45	1
2017	1	26	11	55	38.456	1
2017	1	26	11	55	38.467	1
2017	1	26	11	55	38.472	1
2017	1	26	11	55	38.484	1
2017	1	26	11	55	38.501	1
2017	1	26	11	55	38.501	1
2017	1	26	11	55	38.517	1
2017	1	26	11	55	38.517	1
2017	1	26	11	55	38.522	1
2017	1	26	11	55	38.531	1
2017	1	26	11	55	38.539	1
2017	1	26	11	55	38.551	1
2017	1	26	11	55	38.556	1
2017	1	26	11	55	38.567	1
2017	1	26	11	55	38.572	1
2017	1	26	11	55	38.584	1
2017	1	26	11	55	38.589	1
2017	1	26	11	55	38.6	1
2017	1	26	11	55	38.605	1
2017	1	26	11	55	38.617	1
2017	1	26	11	55	38.634	1
2017	1	26	11	55	38.634	1
2017	1	26	11	55	38.639	1
2017	1	26	11	55	38.647	1
2017	1	26	11	55	38.655	1
2017	1	26	11	55	38.664	1
2017	1	26	11	55	38.672	1
2017	1	26	11	55	38.684	1
2017	1	26	11	55	38.689	1
2017	1	26	11	55	38.701	1
2017	1	26	11	55	38.706	1
2017	1	26	11	55	38.717	1
2017	1	26	11	55	38.722	1
2017	1	26	11	55	38.734	1
2017	1	26	11	55	38.75	1
2017	1	26	11	55	38.751	1
2017	1	26	11	55	38.767	1
2017	1	26	11	55	38.767	1
2017	1	26	11	55	38.784	1
2017	1	26	11	55	38.784	1
2017	1	26	11	55	38.789	1
2017	1	26	11	55	38.8	1
2017	1	26	11	55	38.806	1
2017	1	26	11	55	38.817	1
2017	1	26	11	55	38.822	1
2017	1	26	11	55	38.834	1
2017	1	26	11	55	38.839	1
2017	1	26	11	55	38.85	1
2017	1	26	11	55	38.855	1
2017	1	26	11	55	38.867	1
2017	1	26	11	55	38.872	1
2017	1	26	11	55	38.88	1
2017	1	26	11	55	38.89	1
2017	1	26	11	55	38.898	1
2017	1	26	11	55	38.906	1
2017	1	26	11	55	38.914	1
2017	1	26	11	55	38.922	1
2017	1	26	11	55	38.933	1
2017	1	26	11	55	38.939	1
2017	1	26	11	55	38.95	1
2017	1	26	11	55	38.956	1
2017	1	26	11	55	38.967	1
2017	1	26	11	55	38.973	1
2017	1	26	11	55	38.984	1
2017	1	26	11	55	39.001	1
2017	1	26	11	55	39.001	1
2017	1	26	11	55	39.017	1
2017	1	26	11	55	39.018	1
2017	1	26	11	55	39.034	1
2017	1	26	11	55	39.034	1
2017	1	26	11	55	39.039	1
2017	1	26	11	55	39.05	1
2017	1	26	11	55	39.056	1
2017	1	26	11	55	39.067	1
2017	1	26	11	55	39.072	1
2017	1	26	11	55	39.084	1
2017	1	26	11	55	39.089	1
2017	1	26	11	55	39.101	1
2017	1	26	11	55	39.106	1
2017	1	26	11	55	39.117	1
2017	1	26	11	55	39.123	1
2017	1	26	11	55	39.131	1
2017	1	26	11	55	39.14	1
2017	1	26	11	55	39.148	1
2017	1	26	11	55	39.156	1
2017	1	26	11	55	39.164	1
2017	1	26	11	55	39.172	1
2017	1	26	11	55	39.184	1
2017	1	26	11	55	39.189	1
2017	1	26	11	55	39.2	1
2017	1	26	11	55	39.206	1
2017	1	26	11	55	39.217	1
2017	1	26	11	55	39.222	1
2017	1	26	11	55	39.234	1
2017	1	26	11	55	39.239	1
2017	1	26	11	55	39.25	1
2017	1	26	11	55	39.267	1
2017	1	26	11	55	39.268	1
2017	1	26	11	55	39.284	1
2017	1	26	11	55	39.284	1
2017	1	26	11	55	39.3	1
2017	1	26	11	55	39.301	1
2017	1	26	11	55	39.305	1
2017	1	26	11	55	39.317	1
2017	1	26	11	55	39.322	1
2017	1	26	11	55	39.334	1
2017	1	26	11	55	39.339	1
2017	1	26	11	55	39.35	1
